Date,Open,Close,High,Low,Volume,macd,macd_h,macd_s,rs,rsi,SMA_50,SMA_200,Output
2018-11-20,285.0,283.85,286.65,281.8,7796633,-1.93,1.01,-2.94,1.11,52.61,287.7,279.43,0.0
2018-11-21,284.5,281.75,284.8,280.0,5650063,-1.61,1.06,-2.67,1.0,50.06,287.13,279.46,0.0
2018-11-22,282.0,280.5,284.5,279.6,6680354,-1.45,0.98,-2.43,0.94,48.55,286.53,279.49,0.0
2018-11-26,281.25,285.65,286.35,280.7,8948042,-0.89,1.23,-2.12,1.2,54.62,286.03,279.56,0.0
2018-11-27,286.1,284.85,286.45,282.8,6881741,-0.51,1.29,-1.8,1.15,53.56,285.6,279.6,0.0
2018-11-28,285.4,282.2,287.95,280.8,8856761,-0.41,1.11,-1.52,1.0,50.1,285.3,279.64,0.0
2018-11-29,283.65,287.55,289.3,283.45,13657479,0.09,1.29,-1.2,1.29,56.25,284.91,279.68,0.0
2018-11-30,289.5,285.8,290.0,284.8,8639876,0.35,1.24,-0.89,1.17,53.91,284.49,279.74,0.0
2018-12-03,287.25,282.95,289.5,282.55,8565591,0.32,0.96,-0.65,1.01,50.24,284.1,279.78,0.0
2018-12-04,281.0,281.85,283.3,280.95,6305882,0.2,0.68,-0.48,0.96,48.86,283.68,279.82,0.0
2018-12-05,281.0,275.35,281.8,274.2,11453283,-0.41,0.05,-0.46,0.71,41.59,283.19,279.84,0.0
2018-12-06,274.5,273.05,274.9,271.5,9682118,-1.07,-0.48,-0.59,0.65,39.36,282.57,279.86,0.0
2018-12-07,274.95,274.05,276.2,273.3,8103784,-1.49,-0.73,-0.77,0.69,40.84,282.09,279.89,0.0
2018-12-10,272.0,270.45,272.3,269.15,6683094,-2.09,-1.06,-1.03,0.59,37.3,281.48,279.91,0.0
2018-12-11,268.4,274.7,276.05,268.2,10238800,-2.2,-0.94,-1.27,0.77,43.53,281.11,279.95,0.0
2018-12-12,275.7,276.05,277.7,272.6,10084682,-2.16,-0.71,-1.44,0.83,45.39,280.77,280.01,0.0
2018-12-13,279.0,275.3,279.4,273.5,15821425,-2.15,-0.57,-1.59,0.8,44.51,280.32,280.07,0.0
2018-12-14,274.35,275.75,277.25,273.9,8594764,-2.09,-0.4,-1.69,0.82,45.19,279.89,280.1,0.0
2018-12-17,277.0,279.85,281.4,275.9,12232198,-1.69,-0.0,-1.69,1.05,51.1,279.58,280.17,0.0
2018-12-18,279.05,278.15,280.6,277.0,8832786,-1.5,0.15,-1.65,0.95,48.76,279.4,280.21,0.0
2018-12-19,279.0,283.45,284.0,278.5,13133469,-0.9,0.6,-1.5,1.25,55.6,279.54,280.3,0.0
2018-12-20,281.0,282.65,284.4,281.0,4964496,-0.49,0.81,-1.3,1.19,54.42,279.73,280.38,0.0
2018-12-21,283.0,276.75,284.0,276.05,6816618,-0.63,0.53,-1.16,0.87,46.56,279.9,280.44,0.0
2018-12-24,278.85,276.0,280.7,275.25,8540575,-0.8,0.29,-1.09,0.84,45.66,280.01,280.5,0.0
2018-12-26,276.35,276.65,278.8,274.8,8494118,-0.86,0.18,-1.05,0.87,46.62,280.24,280.58,0.0
2018-12-27,279.0,280.75,281.65,277.3,11441104,-0.58,0.37,-0.95,1.1,52.37,280.36,280.7,0.0
2018-12-28,279.15,282.25,284.0,279.15,13194286,-0.23,0.58,-0.81,1.19,54.31,280.35,280.81,0.0
2018-12-31,282.8,281.65,283.85,281.1,5452405,-0.0,0.64,-0.65,1.14,53.38,280.33,280.93,0.0
2019-01-01,282.2,282.7,283.55,279.8,2490548,0.26,0.72,-0.47,1.21,54.84,280.25,281.04,0.0
2019-01-02,282.25,280.6,283.25,277.55,9934187,0.29,0.61,-0.31,1.06,51.36,280.08,281.1,0.0
2019-01-03,280.6,278.85,282.45,277.75,6114946,0.18,0.39,-0.22,0.95,48.59,279.88,281.14,0.0
2019-01-04,279.15,280.95,282.95,279.15,7805148,0.25,0.38,-0.12,1.08,51.94,279.78,281.21,0.0
2019-01-07,284.3,281.65,285.25,281.0,9757529,0.37,0.39,-0.02,1.13,53.04,279.66,281.29,0.0
2019-01-08,282.0,284.25,285.5,281.35,7480522,0.66,0.54,0.11,1.32,56.97,279.6,281.41,0.0
2019-01-09,285.6,290.4,291.7,284.6,12182118,1.37,1.0,0.36,1.82,64.53,279.79,281.56,0.0
2019-01-10,290.75,289.6,293.7,288.9,10288580,1.84,1.19,0.66,1.7,62.98,279.91,281.72,0.0
2019-01-11,291.9,295.35,296.0,291.5,16773035,2.66,1.6,1.06,2.2,68.79,280.24,281.9,0.0
2019-01-14,294.5,294.3,294.8,290.0,6400147,3.18,1.7,1.48,2.01,66.73,280.52,282.08,0.0
2019-01-15,295.25,296.55,297.4,294.0,7213165,3.73,1.8,1.93,2.21,68.88,280.9,282.28,0.0
2019-01-16,296.0,294.05,296.55,291.7,7784035,3.92,1.59,2.33,1.77,63.94,281.12,282.46,0.0
2019-01-17,294.1,293.95,295.6,290.15,10601100,4.02,1.35,2.67,1.76,63.74,281.41,282.63,0.0
2019-01-18,293.25,291.45,295.1,290.65,10994807,3.85,0.94,2.9,1.43,58.86,281.69,282.81,0.0
2019-01-21,292.85,289.9,293.2,288.7,8203333,3.55,0.52,3.03,1.27,55.99,281.89,282.97,0.0
2019-01-22,289.85,289.75,291.0,285.15,10329563,3.26,0.18,3.08,1.26,55.71,282.14,283.13,0.0
2019-01-23,291.5,277.3,294.4,275.0,40188183,2.01,-0.86,2.86,0.62,38.4,282.2,283.22,0.0
2019-01-24,279.3,278.9,283.35,277.85,28026449,1.13,-1.39,2.52,0.69,40.94,282.25,283.32,0.0
2019-01-25,280.0,279.2,282.7,278.5,8897906,0.45,-1.65,2.1,0.71,41.43,282.3,283.41,0.0
2019-01-28,278.9,274.75,279.45,274.2,8992136,-0.44,-2.04,1.59,0.58,36.6,282.31,283.46,0.0
2019-01-29,275.3,278.45,279.0,274.75,6998389,-0.84,-1.95,1.11,0.74,42.59,282.34,283.51,0.0
2019-01-30,280.1,275.5,280.2,274.2,10449713,-1.38,-1.99,0.61,0.65,39.39,282.16,283.57,0.0
2019-01-31,276.5,278.65,279.6,273.6,15346406,-1.53,-1.71,0.18,0.79,44.21,282.06,283.65,0.0
2019-02-01,280.65,280.85,285.2,279.1,18353829,-1.46,-1.31,-0.15,0.9,47.35,282.04,283.75,0.0
2019-02-04,281.9,277.1,281.9,276.05,6056619,-1.69,-1.23,-0.45,0.75,42.91,281.97,283.81,0.0
